id,longitude,latitude,ocean_proximity
1,-122.23,37.88,NEAR BAY
2,-122.22,37.86,NEAR BAY
3,-122.24,37.85,NEAR BAY
4,-122.25,37.85,NEAR BAY
5,-122.25,37.85,NEAR BAY
6,-122.25,37.85,NEAR BAY
7,122.25,37.84,NEAR BAY
8,-122.25,37.84,NEAR BAY
9,-122.26,37.84,NEAR BAY
10,-122.25,37.84,NEAR BAY
11,-122.26,37.85,NEAR BAY
12,-122.26,37.85,nNEAR OCEAN
13,-122.26,37.85,nNEAR OCEAN
14,-122.26,37.84,nNEAR OCEAN
15,-122.26,37.85,NEAR BAY
16,-122.26,37.85,NEAR BAY
17,-122.27,37.85,NEAR BAY
18,-122.27,37.85,NEAR BAY
19,-122.26,37.84,NEAR BAY
20,-122.27,37.84,NEAR BAY
21,-122.27,37.85,NEAR BAY
22,-122.27,37.85,NEAR BAY
23,-122.27,37.84,NEAR BAY
24,-122.27,37.84,NEAR BAY
25,-122.27,37.84,NEAR BAY
26,-122.28,37.85,NEAR BAY
27,-122.28,37.85,NEAR BAY
28,-122.28,37.85,NEAR BAY
29,-122.28,37.84,NEAR BAY
30,-122.28,37.84,NEAR BAY
31,-122.28,37.84,NEAR BAY
32,-122.28,37.84,NEAR BAY
33,-122.27,37.84,NEAR BAY
34,-122.27,37.83,NEAR BAY
35,-122.27,37.83,NEAR BAY
36,-122.27,37.83,NEAR BAY
37,-122.27,37.83,NEAR BAY
38,-122.28,37.83,NEAR BAY
39,-122.26,37.83,NEAR BAY
40,-122.26,37.83,NEAR BAY
41,-122.26,37.83,NEAR BAY
42,-122.26,37.83,NEAR BAY
43,-122.26,37.84,NEAR BAY
44,-122.26,37.84,NEAR BAY
45,-122.26,37.83,NEAR BAY
46,-122.26,37.83,NEAR BAY
47,-122.26,37.83,NEAR BAY
48,-122.27,37.82,NEAR BAY
49,-122.26,37.82,NEAR BAY
50,-122.27,37.82,NEAR BAY
51,-122.27,37.82,NEAR BAY
52,-122.27,37.82,NEAR BAY
53,-122.27,37.82,NEAR BAY
54,-122.27,37.82,NEAR BAY
55,-122.28,37.82,NEAR BAY
56,-122.28,37.82,NEAR BAY
57,-122.28,37.82,NEAR BAY
58,-122.28,37.82,NEAR BAY
59,-122.28,37.82,NEAR BAY
60,-122.29,37.82,NEAR BAY
61,-122.29,37.83,NEAR BAY
62,-122.29,37.82,NEAR BAY
63,-122.29,37.81,NEAR BAY
64,-122.3,37.81,NEAR BAY
65,-122.3,37.81,NEAR BAY
